# 名前,公式カラー,代用,備考
秋雪こはく,指定なし,#B62E51
九条林檎,#a50000,
音門るき,指定なし,#f8c6bd,イメージカラーはコーラルピンク
雛星あいる,指定なし,#f9d566,イメージカラーは黄色
トゥルシー・ナイトメア,指定なし,#ebade8,
日和ちひよ,指定なし,#fdec84,
白粉いと,指定なし,#e7f5fd,イメージカラーは白
ミュウ・ガルシア,指定なし,#a480cb,イメージカラーはムラサキ
漣とあ,指定なし,#a7ade7,
神童児丫子,指定なし,#dc7990,
桜鳥ミーナ,指定なし,#ffc0cb,
蒼宮よづり,指定なし,#2b3cc5,
亞生うぱる,指定なし,#ebe3f8,イメージカラーは白
糶,指定なし,#f2c02c,イメージカラーは黄色
言のハ,#82A9DA,,
るみなす・すいーと,指定なし,#a7f1ea,イメージカラーは水色
偉雷アマエ,指定なし,#EE7908,
北白川かかぽ,指定なし,#9CB96C,イメージカラーは黄緑色
ゆりかわゆん,指定なし,#DAE0F2,
雨庭やえ,#95c6c6,,
黒燿リラ,#ad2a3e,,
月白累,#646484,,
天籠りのん,#ea369e,,ピンク
安心院みさ,#1d62c1,,ロイヤルブルー
甘楽デイティー,#BBF2FF,,水色
浮々ゆにこ,#ffe49e,,
羽澄さひろ,#EEFDFF,,水色
緋墨,#ED1C24,,猩々緋色
芽々守あん,#D9394E,,チェリーレッド
華灯,指定なし,#85d7e0,
アルバ・セラ,#d45555,,朱色
カガセ・ウノ,#ffd34f,,黄色
カシ・オトハ,#b182ba,,紫
ヒトシロ・イツキ,#6fbed1,,水色
マル・ナナモナ,#ffaa4f,,オレンジ
