艾因(アイネ),#A00000
琉綺(ルキ),#E85693
七海(ナナミ),#2E88E8
光一(コウイチ),#A9A49A
无理(ムリ),#A8D3F8
羽音(ハノン),#FFC462
有加(プラス),#AD2932
喵月(ニャツキ),#8FF6FF
惑姫(ワクヒメ),#6495ED
弥希(ミキ),#A59ACA
真绯瑠(マヒル),#FB5498
星弥(ホシミ),#FFF6AB
阿萨(アザ),#B8E994
八木迪之(ヤギ ミチユキ),#875E37
度人(タビビト),#37474F
罗伊(ロイ),#FFF9C4
星也(セイヤ),#7792BB
沙夜(サヤ),#764699
雪绘(ユキエ),#FEEAD0
萨麦尔(サマエル),#A12831
花留(カル),#75DAFF
紫纪(シキ),#5C196B
卡欧斯(カオス),#672F2F
清良(キヨラ),#A12831
千春(チハル),#FFD49C
星宸(シリウス),#3755BD
瑞芙(レフ),#91BCB5
勺(シャン),#FFFAFA
悠亚(ユア),#C0E0F0
田野柴(タノシバ),#E7B45B
伊深(イミ),#CC777C
茉里(マリ),#C70039
千幽(チユウ),#CC225F
勾檀(マユミ),#D6E568
犬童(ケンドウ),---,*6
九十九(ツクモ),#C6B6EC
蕾米(レミ),#77CFD4
桃星(トッチ),#EABAE1
吉吉(キキ),#FBA33E
绮楼(キロウ),---,*7
轴伊(ジョイ),#FFCE65
恋诗夜(コシヤ),#EE548E
库伽(ハクジャ),#55A8CB
未羽(ミ・ユ),---,*8
夜宫(ヨミヤ),#FFBBD1
瑞娅(リア),#776EF2
尤格(ヨグ),#6671BC
克克(カカ),#FF0329
暴食(ハンガー),#6F1313
友夏(ウカ),#A72424
希维(シヴィル),#91CAD1
雾深(ギリミ),#1E377F
狩砂(カリサ),#B4BBC4
希侑(キユウ),#FF91AE
莱恩(レオ),#FFDB79
江乱(エラ),#AE55E6
岁己(スイ),#87EAFF
伊舞(イヴ),#F15642
欧珀(オパール),#90CC42
栞栞(シオリ),#93B0F8
哎小呜(アゥ),#F9A699
初濑(ハツセ),#BA66F6
未知夜(ミチヤ),#EBE4D7
雨纪(アメキ),#9EEEFF
入福步(アユミ),#7894D2
弥月(ミヅキ),#FCC8C2
离枝(ライチ),#DAA520
蜜言(ミコト),#CB2533
漆羽(ウルシハ),#AFFCAA
晴一(ハジメ),#375EFC
帕可(パコ),#A564CD
米汀(ナギサ),#4D4030
向阳(ヒヒ),#FFC633
雪烛(ユキショ),#995CA4
鬼间(キマ),#F5B1AA
阿命(イノチ),#000000
花礼(ハレイ),#E3E5F0
点酥(スゥスゥ),#FCE56B
桃代(モモカ),#C8DDEB
