電脳少女シロ-左上,#cce6ff
電脳少女シロ-右下,#b2d9ff
花京院ちえり-左上,#e78dbc
花京院ちえり-右下,#e171ac
神楽すず-左上,#73c5ba
神楽すず-右下,#51b7a9
カルロピノ-左上,#c9bee6
カルロピノ-右下,#bcaee0
もこ田めめめ-左上,#a50000
もこ田めめめ-右下,#d60020
ヤマトイオリ-左上,#61a6da
ヤマトイオリ-右下,#3a90d1
メリーミルク-左上,#f7fcfa
メリーミルク-右下,#e3f1ed
七星みりり-左上,#e97a52
七星みりり-右下,#e45a28
リクム-左上,#5077b8
リクム-右下,#2556a7
ルルンルルリカ-左上,#a272aa
ルルンルルリカ-右下,#8b5095
甘噛あめ-左上,#d2bcf7
甘噛あめ-右下,#c7acf5
十六夜ちはや-左上,#4785c5
十六夜ちはや-右下,#1a67b7
鬼頭みさき-左上,#ff8b54
鬼頭みさき-右下,#ff6f2a
紅蓮罰まる-左上,#b7002e
紅蓮罰まる-右下,#a50000
斜落せつな-左上,#bce74d
斜落せつな-右下,#9edc00
秘間慈ぱね-左上,#f9c4dc
秘間慈ぱね-右下,#f6a3c8
ばあちゃる-左上,#e7bd91
ばあちゃる-右下,#db9b58

鍵宮シエル-左上,#98aaec
鍵宮シエル-右下,#7f95e7
烏丸ぴょこ-左上,#ffa684
烏丸ぴょこ-右下,#ff9066
遠吠きゃん-左上,#ff4242
遠吠きゃん-右下,#ff1414
ベルモットベルーナ-左上,#98165c
ベルモットベルーナ-右下,#7f0034
まるげりちゃ-左上,#d2d2d2
まるげりちゃ-右下,#c7c7c7
綿貫ねぐせ-左上,#b3d7fb
綿貫ねぐせ-右下,#a0cdfa
銀棘ぐみ-左上,#c0c0c0
銀棘ぐみ-右下,#b1b1b1
コマチガブ-左上,#a6dc53
コマチガブ-右下,#90d329
彩歌すいれん-左上,#58e1fa
彩歌すいれん-右下,#2fdaf9
猫撫こぜに-左上,#f790a6
猫撫こぜに-右下,#f57590
蜂蜜ぷりん-左上,#fcc731
蜂蜜ぷりん-右下,#fbb900
花百合ちゅみ-左上,#233a2d
花百合ちゅみ-右下,#112a1c
やまだなのだ-左上,#fc9c72
やまだなのだ-右下,#fb8450
