
因幡はねる,#F3C640
宗谷いちか,#59C3E1
日ノ隈らん,#8FC31F
宇森ひなこ,公式発表前に卒業
稲荷くろむ,公式発表前に卒業
周防パトラ,#D8346E
島村シャルロット,#004098
西園寺メアリ,#7E318E
堰代ミコ,#47885E
蒼月エリ,公式発表前に卒業
杏戸ゆげ,#B7CDDA
花奏かのん,#95D0C0
季咲あんこ,#F3A8B4
不磨わっと,#9C8DA9
小森めと,公式発表前に移籍
鴨見カモミ,公式発表前に脱退
風見くく,#f08437
柚原いづみ,#A16945
龍ヶ崎リン,#C8161D
獅子王クリス,#2EB6AA
虎城アンナ,#9070AE
白宮みみ,公式発表前に卒業
羽柴なつみ,公式発表前に卒業
灰原あかね,公式発表前に卒業
瀬島るい,#9D3636
飛良ひかり,#EA998F
大浦るかこ,#2C637A
湖南みあ,#FFE893
月野木ちろる,#75C5B5
茜音カンナ,#D92731
涼海ネモ,#0068B7
家入ポポ,#FFF100
瑚白ユリ,#EAEFF9
橙里セイ,#F0831E
紫水キキ,#724598
狼森メイ,#e67696
蛇宵ティア,#6879ba
天羽衣,#bbdcf4
いなうるう,#dab4d4
日向ましゅ,#f3dd6d
