（にじさんじ公式）,#2A4B71
月ノ美兎,#E43F3B
勇気ちひろ,#7BB3EE
える,#E2364F,#E1364E→2019/08/24変更
樋口楓,#FBAF71,#F3AB6F→2019/08/24変更
静凛,#745399,Twitterアンケートで1位となった色
渋谷ハジメ,#D7FAD7
鈴谷アキ,#F2F9C3
モイラ,#91ABD0
鈴鹿詩子,#FA4F62,#FA4E62→2019/08/24変更
宇志海いちご,#FFCACE
家長むぎ,#FF899D,#FE899D→2019/08/24変更
夕陽リリ,#BFFFFF
物述有栖,#81D4E2,#80D4E2→2019/08/24変更
文野環,#EBDDB4
伏見ガク,#FFCB5B,#FECB5B→2019/08/24変更
ギルザレンⅢ世,#002FA7
剣持刀也,#A590AF
森中花咲,#C8F39A,#C7F39A→2019/08/24変更
叶,#ABD3D8
赤羽葉子,#CA636C
笹木咲,#EF9AAF
闇夜乃モルル,#EC4676
本間ひまわり,#FBE340,#FD9D45→2019/08/24 #FF9D46へ変更→2019/10/11変更
魔界ノりりむ,#EF6F94,#D34968→2019/08/24 #D44968へ変更→2021/09/13の先行告知を経て同年10/02変更
葛葉,#ACA7BB
雪汝,#85AFE9
椎名唯華,#F1C8DE
ドーラ,#A83E4A
海夜叉神,#7DC5ED
名伽尾アズマ,#F7A57D
出雲霞,#A9D6E3
轟京子,#F8A69A
シスター・クレア,#DFC6A8,#DFC6AB→2019/08/24変更*2
花畑チャイカ,#40CF84
社築,#B6C6F2
安土桃,#F295CE
鈴木勝,#7B788A
緑仙,#5DCCAB
卯月コウ,#F9E97A
八朔ゆず,#FCCA4D
神田笑一,#F4D35B
鳴門こがね,---,,,,本項目基準のカラーコードが公開された時点(2019/02/04)で卒業済み
飛鳥ひな,#FAD8DC
春崎エアル,#4B5F9E
雨森小夜,#756F7D
鷹宮リオン,#CC3D7B
舞元啓介,#094078,#AFC9A4→2021/03/09変更
竜胆尊,#745BFF,#CCCEF6→2019/08/08変更
でびでび・でびる,#444C7D
桜凛月,#C57FC7
町田ちま,#80C8EF,#EDDDBB→2023/08/11の配信・08/12のポストにて変更発表、公式サイトは08/14変更
月見しずく,#E354AF
ジョー・力一,#D598DD
遠北千南,#FCC5DC
成瀬鳴,#E06489
ベルモンド・バンデラス,#683D46
矢車りね,#FEECD8
夢追翔,#AC324B
黒井しば,#585C82
童田明治,#E34E4F
久遠千歳,#FBD5F1,#FAD5F0→2019/08/24変更
郡道美玲,#A20063,#836000(いつから.link実装直後のみ)→2019/02/04変更
夢月ロア,#D8368D
小野町春香,#FF336E
語部紡,#07A4E3
瀬戸美夜子,#C4FF2B
御伽原江良,#FFBE5C
戌亥とこ,#92F3A4,#9D3757→2023/03/02 #86B368へ変更→同年06/01変更
アンジュ・カトリーナ,#C83C35
リゼ・ヘルエスタ,#42FFFF
三枝明那,#F03C32,#392D47→2022/05/08変更
愛園愛美,#F98FB7
鈴原るる,#D7AFA8
雪城眞尋,#B4E9FF
エクス・アルビオ,#5C9BBC
レヴィ・エリファ,#FF5A00,#E8E1E8→2024/08/18変更
葉山舞鈴,#72D5CE,#D9EC33→2022/09頃変更
ニュイ・ソシエール,#D24E5F
葉加瀬冬雪,#EEFFFF
加賀美ハヤト,#B9ADB9
夜見れな,#F7265A
黛灰,#086776
アルス・アルマル,#7FD6E2
相羽ういは,#324CAC
天宮こころ,#C5EDFF,#C6ECFF→2019/08/24変更
エリー・コニファー,#DAFFF9,#DAFFF8→2019/08/24変更
ラトナ・プティ,#F8B759
早瀬走,#AA7BE8
健屋花那,#FF2FA2
シェリン・バーガンディ,#6C2735,色名：バーガンディー
フミ,#F4E49D
星川サラ,#FAB80D
山神カルタ,#384B5A
えま★おうがすと,#B32F51
ルイス・キャミー,#E86A74
魔使マオ,#C93965
不破湊,#BF69F4
白雪巴,#6E3FE7
グウェル・オス・ガール,#F04B2D
ましろ爻,#1E2232,#1E2233→2020/04/07変更
奈羅花,#A02655
来栖夏芽,#8AD1EF,#880223→2022/11/04変更
フレン・E・ルスタリオ,#EC1D2F
メリッサ・キンレンカ,#D3F377
イブラヒム,#7CA1F0
長尾景,#625DA1
弦月藤士郎,#B43246,#487591→2023/05/02変更
甲斐田晴,#4DD7E3
空星きらめ,#44DDF4
朝日南アカネ,#B7282E,色名：茜あかね色
周央サンゴ,#EF8468,色名：珊瑚さんご色
東堂コハク,#EA930A,色名：琥珀こはく色
北小路ヒスイ,#38B48B,色名：翡翠ひすい色
西園チグサ,#3A8FB7,色名：千草ちぐさ色
アクシア・クローネ,#00A6FE
ローレン・イロアス,#C10E49
レオス・ヴィンセント,#234A87
オリバー・エバンス,#BCC37E
レイン・パターソン,#F74848
天ヶ瀬むゆ,#FA5578
先斗寧,#5A7DFF
海妹四葉,#FFE632
壱百満天原サロメ,#CD3796
風楽奏斗,#F0F0F5,サブカラー：#FAD246(初配信より)
渡会雲雀,#192332,サブカラー：#CD3764(ミューコミVR出演時の発言より)
四季凪アキラ,#235AAA,サブカラー： 紫 (カラーコード不明)
セラフ・ダズルガーデン,#DC3C41,サブカラー： 青 (カラーコード不明)
タカ ラジマン,#303764,#313865：2021/10/16のクイズ大会配信にて公表*3
ゼア コルネリア,#FBEC5D,色名：コーン
ハナ マキア,#FFEFD5
ライ ガリレイ,#7DF9FF
アミシア ミシェラ,#45E101,#47E104：2021/10/16のクイズ大会配信にて公表*4
ミユ オッタフィア,#FFAB75
リクサ ディレンドラ,#FF0103
アズラ セシリア,#1B486F
ナラ ハラマウン,#26C2CD,#FEA191→2022/01/21の先行告知*5・04/25の配信での言及を経て同年07/28の公式サイトリニューアル時に変更
ライラ アルストロエメリア,#F78181,#F9CACA：2022/04/24の自己紹介配信にて公表、#F76D6Dからの変更を言及
エトナ クリムソン,#DC143C,色名：クリムゾン
ボンニフィエール プラナジャ,#00FFCD
シスカ レオンタイン,#FFDFA0
ナギサ アルシニア,#CC338B
デレム カド,#F6D4DF
レザ アファンルナ,#765CB8
ヒョナ エラティオラ,#800020
シア エカフィラ,#F2F680
ミカ メラティカ,#DDBFF8
ウィフィ,#A7FFF4
ユ ルリ,#FDEFEC
シン ユヤ,#7ACFAD
ミン スゥーハ,#5AC8FF
ガオン,#F9E072
カエン,#FE8114
ローロー,#FE8114
ハン チホ,#645E5D
ハクレン,#C8FFFF
ソ ナギ,#7C86DE
チェ アラ,#FF6064
イ シウ,#811528
ヌン ボラ,#A9CEEC
明楽レイ,#A9CEEC
イ ロハ,#EC399B,#FF2649→2023/02頃変更
ヤン ナリ,#FAD1D6,#FFF8C8→2022/07/29変更
リュ ハリ,#96CEEB
シン ギル,#B0C4C7
オ ジユ,#F1F4F4
セフィナ,#C92235
ソン ミア,---,,,
バン ハダ,#DDBC0B
コ ヤミ,---,,,,#000000：ツイートより
ハ ユン,#B14D4D
ナ セラ,#FEECF3
イ オン,---,,,,初配信にて「パステル・ブルー」という色名を発表しているが、カラーコードは不明
小清水透,#CDA5FF
獅子堂あかり,#FFD728
鏑木ろこ,#198CAA
五十嵐梨花,#FF8C3C
石神のぞみ,#E6325F
ソフィア・ヴァレンタイン,#C8C3DC
倉持めると,#EB4682
佐伯イッテツ,#8C4664
赤城ウェン,#FF8C9B
宇佐美リト,#FAC31E
緋八マナ,#64C8F0
星導ショウ,#A58CDC
叢雲カゲツ,#6EB487
小柳ロウ,#5A5FAA
伊波ライ,#DCFF50
立伝都々,#C31E5A,サブカラー：#8FDED0(初配信より)
栞葉るり,#2887FF
ミラン・ケストレル,#2C35BD
北見遊征,#FF6E1E,サブカラー：#BEBED2(初配信より)
魁星,#0C6F72
榊ネス,#C2AAE6
司賀りこ,#FFE36C
珠乃井ナナ,#63AED9,サブカラー：#FFC547(初配信より)
綺沙良,#846FC7,サブカラー：#9394B2(初配信より)
梢桃音,#FFC6E2,サブカラー：#DECDFC(初配信より)
ルンルン,#D8E9FC,サブカラー：#F6F9FF(ポストより)
七瀬すず菜,#B9E089,サブカラー：#EA6969(初配信より)
